CITY_NAME,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Middlebury,7750.0,2.0,0.0,0.0,0.0,2.0,64.0,9.0,47.0,8.0,0.0
Middletown,45963.0,38.0,0.0,5.0,10.0,23.0,613.0,62.0,474.0,77.0,0.0
Milford,54898.0,29.0,1.0,0.0,16.0,12.0,1028.0,95.0,853.0,80.0,1.0
Monroe,19466.0,3.0,0.0,2.0,1.0,0.0,84.0,12.0,66.0,6.0,1.0
Naugatuck,31214.0,30.0,0.0,10.0,9.0,11.0,441.0,48.0,372.0,21.0,3.0
New Britain2,72354.0,306.0,3.0,44.0,66.0,193.0,1195.0,188.0,826.0,181.0,7.0
New Canaan,20268.0,2.0,0.0,0.0,0.0,2.0,101.0,14.0,80.0,7.0,0.0
New Haven,130494.0,1168.0,13.0,45.0,321.0,789.0,4958.0,659.0,3580.0,719.0,28.0
Newington,30060.0,24.0,0.0,2.0,14.0,8.0,646.0,65.0,530.0,51.0,0.0
New London,26856.0,79.0,0.0,19.0,32.0,28.0,461.0,90.0,329.0,42.0,4.0
New Milford,26835.0,15.0,0.0,9.0,0.0,6.0,181.0,2.0,173.0,6.0,1.0
Newtown,27795.0,6.0,0.0,0.0,1.0,5.0,57.0,11.0,45.0,1.0,1.0
North Branford,14127.0,8.0,0.0,4.0,3.0,1.0,99.0,10.0,79.0,10.0,0.0
North Haven,23642.0,11.0,0.0,0.0,5.0,6.0,361.0,57.0,268.0,36.0,1.0
Norwalk,89440.0,183.0,1.0,8.0,29.0,145.0,1247.0,133.0,989.0,125.0,4.0
Norwich,38964.0,149.0,0.0,26.0,22.0,101.0,533.0,112.0,368.0,53.0,5.0
Old Saybrook,10069.0,2.0,0.0,0.0,0.0,2.0,69.0,5.0,59.0,5.0,0.0
Orange,13948.0,4.0,0.0,0.0,3.0,1.0,370.0,25.0,326.0,19.0,0.0
Plainfield,15145.0,18.0,1.0,9.0,1.0,7.0,37.0,3.0,29.0,5.0,0.0
Plainville,17610.0,33.0,0.0,1.0,3.0,29.0,348.0,18.0,309.0,21.0,0.0
Plymouth,11573.0,2.0,0.0,0.0,1.0,1.0,110.0,10.0,84.0,16.0,0.0
Portland,9281.0,4.0,0.0,1.0,0.0,3.0,38.0,3.0,26.0,9.0,0.0
Putnam,9374.0,18.0,0.0,9.0,0.0,9.0,72.0,9.0,56.0,7.0,2.0
Redding,9120.0,2.0,0.0,1.0,1.0,0.0,35.0,9.0,26.0,0.0,0.0
Ridgefield,25050.0,1.0,0.0,0.0,0.0,1.0,72.0,12.0,53.0,7.0,0.0
Rocky Hill,20199.0,12.0,1.0,7.0,2.0,2.0,212.0,21.0,166.0,25.0,0.0
Seymour,16505.0,9.0,0.0,2.0,4.0,3.0,104.0,20.0,73.0,11.0,2.0
Shelton,41287.0,22.0,0.0,8.0,7.0,7.0,304.0,61.0,219.0,24.0,1.0
Simsbury,25169.0,3.0,0.0,1.0,2.0,0.0,146.0,5.0,121.0,20.0,0.0
Southington,43886.0,26.0,0.0,2.0,6.0,18.0,542.0,87.0,407.0,48.0,1.0
South Windsor,26097.0,13.0,0.0,5.0,4.0,4.0,332.0,50.0,255.0,27.0,2.0
Stamford,130678.0,264.0,5.0,27.0,87.0,145.0,1803.0,196.0,1446.0,161.0,1.0
Stonington,18439.0,15.0,2.0,3.0,0.0,10.0,159.0,31.0,126.0,2.0,0.0
Stratford,52034.0,71.0,1.0,13.0,25.0,32.0,859.0,97.0,654.0,108.0,4.0
Suffield,15740.0,5.0,0.0,2.0,1.0,2.0,62.0,13.0,39.0,10.0,0.0
Thomaston,7521.0,4.0,0.0,1.0,1.0,2.0,58.0,6.0,46.0,6.0,0.0
Torrington,33972.0,36.0,0.0,12.0,5.0,19.0,372.0,53.0,289.0,30.0,2.0
Trumbull,35772.0,45.0,0.0,7.0,15.0,23.0,778.0,53.0,692.0,33.0,1.0
Vernon,29318.0,16.0,0.0,5.0,3.0,8.0,307.0,50.0,211.0,46.0,0.0
Wallingford,44457.0,17.0,0.0,6.0,1.0,10.0,291.0,35.0,237.0,19.0,1.0
Waterbury,107812.0,325.0,5.0,53.0,124.0,143.0,3263.0,450.0,2272.0,541.0,12.0
Waterford,18812.0,8.0,0.0,4.0,1.0,3.0,189.0,10.0,174.0,5.0,0.0
Watertown,21534.0,13.0,3.0,3.0,2.0,5.0,284.0,26.0,221.0,37.0,0.0
West Hartford,62875.0,36.0,0.0,1.0,30.0,5.0,1406.0,130.0,1192.0,84.0,1.0
West Haven,54794.0,85.0,1.0,21.0,29.0,34.0,1091.0,96.0,828.0,167.0,3.0
Weston,10254.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,14.0,0.0,0.0
Westport,28332.0,4.0,0.0,0.0,2.0,2.0,193.0,20.0,152.0,21.0,0.0
Wethersfield,26009.0,23.0,0.0,4.0,8.0,11.0,351.0,39.0,272.0,40.0,1.0
Willimantic,17660.0,22.0,0.0,7.0,6.0,9.0,119.0,18.0,85.0,16.0,1.0
Wilton,18439.0,4.0,0.0,0.0,0.0,4.0,109.0,13.0,89.0,7.0,0.0
Winchester,10585.0,7.0,0.0,3.0,3.0,1.0,85.0,24.0,56.0,5.0,0.0
Windsor,28717.0,12.0,0.0,3.0,2.0,7.0,605.0,43.0,502.0,60.0,1.0
Windsor Locks,12924.0,8.0,1.0,1.0,6.0,0.0,140.0,16.0,98.0,26.0,0.0
Wolcott,16642.0,7.0,0.0,3.0,4.0,0.0,195.0,30.0,139.0,26.0,0.0
Woodbridge,8782.0,6.0,1.0,3.0,1.0,1.0,89.0,13.0,66.0,10.0,0.0
Adams Village,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addison Town and Village,2471.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,5.0,0.0,0.0
Afton Village,796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akron Village,2851.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0
Albany,97221.0,736.0,4.0,60.0,189.0,483.0,2919.0,445.0,2315.0,159.0,16.0
Albion Village,5802.0,17.0,0.0,2.0,1.0,14.0,147.0,27.0,115.0,5.0,2.0
Alfred Village,3988.0,1.0,0.0,0.0,0.0,1.0,23.0,5.0,18.0,0.0,0.0
Allegany Village,1707.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,8.0,1.0,0.0
Amherst Town,120864.0,141.0,2.0,11.0,42.0,86.0,1840.0,157.0,1640.0,43.0,5.0
Amityville Village,9430.0,3.0,1.0,0.0,0.0,2.0,68.0,12.0,52.0,4.0,0.0
Amsterdam,17773.0,40.0,1.0,3.0,7.0,29.0,220.0,49.0,158.0,13.0,3.0
Angelica Village,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arcade Village,1933.0,2.0,0.0,0.0,0.0,2.0,6.0,1.0,5.0,0.0,0.0
Ardsley Village,4538.0,1.0,0.0,1.0,0.0,0.0,21.0,3.0,17.0,1.0,0.0
Asharoken Village,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attica Village,2411.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0
Baldwinsville Village,7931.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,41.0,1.0,3.0
Ballston Spa Village,5257.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,27.0,1.0,0.0
Barker,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bath Village,5446.0,12.0,0.0,2.0,3.0,7.0,73.0,14.0,59.0,0.0,0.0
Beacon,14510.0,24.0,1.0,4.0,6.0,13.0,150.0,15.0,128.0,7.0,0.0
Bedford Town,17791.0,1.0,0.0,0.0,0.0,1.0,57.0,4.0,52.0,1.0,0.0
Belmont Village,904.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
Bethlehem Town,35275.0,29.0,0.0,11.0,2.0,16.0,438.0,41.0,391.0,6.0,0.0
Binghamton,44475.0,355.0,2.0,42.0,66.0,245.0,1907.0,417.0,1429.0,61.0,16.0
Black River,1253.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0
Blasdell Village,2665.0,5.0,0.0,0.0,2.0,3.0,39.0,7.0,30.0,2.0,0.0
